Function,Label,Size label,Chunk size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizesNonPow2,nasm,1.5 MB,1572864,57.526227,51.214495,55.897425
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,57.438446,44.078570,55.876177
ReadSuccessiveSizesNonPow2,nasm,3 MB,3145728,57.524930,49.549847,55.161695
ReadSuccessiveSizesNonPow2,nasm,4 MB,4194304,55.862664,42.761624,54.313941
ReadSuccessiveSizesNonPow2,nasm,6 MB,6291456,58.625098,30.012619,53.898945
ReadSuccessiveSizesNonPow2,nasm,8 MB,8388608,47.224503,16.596113,37.680429
ReadSuccessiveSizesNonPow2,nasm,12 MB,12582912,17.389748,12.971380,14.602343
ReadSuccessiveSizesNonPow2,nasm,16 MB,16777216,17.624754,11.222168,13.653779
ReadSuccessiveSizesNonPow2,nasm,24 MB,25165824,13.683923,9.171126,11.953542
ReadSuccessiveSizesNonPow2,nasm,32 MB,33554432,12.356298,9.900763,11.323717
ReadSuccessiveSizesNonPow2,nasm,48 MB,50331648,11.906159,9.183650,10.502796
ReadSuccessiveSizesNonPow2,nasm,64 MB,67108864,12.049973,9.068710,10.514755
ReadSuccessiveSizesNonPow2,nasm,96 MB,100663296,11.928415,9.361293,10.448192
ReadSuccessiveSizesNonPow2,nasm,128 MB,134217728,15.263925,9.215953,10.903702
ReadSuccessiveSizesNonPow2,nasm,192 MB,201326592,12.099628,8.537090,10.298329
ReadSuccessiveSizesNonPow2,nasm,256 MB,268435456,12.024788,9.070896,10.460823
ReadSuccessiveSizesNonPow2,nasm,384 MB,402653184,11.231043,8.920569,10.151277
ReadSuccessiveSizesNonPow2,nasm,512 MB,536870912,11.753210,9.280552,10.494559
ReadSuccessiveSizesNonPow2,nasm,768 MB,805306368,13.793562,9.334500,10.445081
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,11.638004,9.092648,10.259272
