Function,Label,Chunk label,Chunk size,Offset label,Offset size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,33 B,33,11.894918,10.231976,11.224657
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,47 B,47,11.901015,10.628329,11.341655
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,48 B,48,12.077331,10.219241,11.183579
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,49 B,49,12.036810,10.745366,11.444075
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,63 B,63,11.708305,10.250979,11.304253
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,64 B,64,13.115212,9.359104,10.032089
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,65 B,65,11.646355,10.153965,11.172797
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,0 B,0,212.100326,102.067255,191.204238
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,1 B,1,111.848238,93.101361,109.226432
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,2 B,2,110.545436,95.675119,108.370700
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,15 B,15,109.598609,100.799965,108.223113
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,16 B,16,109.211791,100.589784,107.986855
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,17 B,17,109.071179,94.695524,107.727093
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,31 B,31,109.141248,95.742616,107.324725
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,32 B,32,189.932948,117.820632,181.032067
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,33 B,33,110.459923,96.374137,108.618782
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,47 B,47,111.033527,99.436621,108.563284
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,48 B,48,110.308072,93.293762,108.585252
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,49 B,49,110.396159,100.697788,108.597488
